,departamen,municipio,miny,maxy,minx,maxx
0,CANELONES,LAS PIEDRAS,-34.7495273387884,-34.67040134678306,-56.30106242506994,-56.1309207091026
1,CANELONES,SALINAS,-34.795271781535156,-34.684639760359104,-56.23280833755867,-55.79172211889419
2,CANELONES,SAN RAMON,-34.388558338482596,-34.24603075411652,-56.181518905819146,-55.80768794147487
3,CANELONES,TOLEDO,-34.76382902517842,-34.69195322976141,-56.14257492941677,-56.05455865128063
4,MALDONADO,PAN DE AZUCAR,-34.86661362336175,-34.49147801482299,-55.35627762135561,-55.028856299848094
5,MALDONADO,AIGUÁ,-34.52870394321932,-33.927517794380414,-54.870857705643466,-54.46275663830667
6,MALDONADO,SAN CARLOS,-34.91803638655087,-34.4009951472509,-55.19286565445818,-54.66544678119765
7,MONTEVIDEO,G,-34.85686115354625,-34.70192260326309,-56.35262459046439,-56.16745856358059
8,MONTEVIDEO,D,-34.881976963785995,-34.71381735638014,-56.19392258032805,-56.087929755658095
9,MONTEVIDEO,F,-34.87356955925064,-34.760447938572156,-56.15556934173287,-56.029099281197865
10,MONTEVIDEO,E,-34.90053382300765,-34.86675580066346,-56.15248446982602,-56.02394741360511
11,MONTEVIDEO,CH,-34.93814769081368,-34.87928764270113,-56.16554818058661,-56.1213629961891
12,MONTEVIDEO,B,-34.93109216736539,-34.88789520496055,-56.222984258062915,-56.16098119483535
13,CANELONES,CIUDAD DE LA COSTA,-34.864795423367234,-34.76843961533526,-56.03207978791429,-55.801145141136466
14,CANELONES,EMPALME OLMOS,-34.74362190962109,-34.56335695728856,-56.23280833755867,-55.80110767337022
15,TREINTA Y TRES,SANTA CLARA DE OLIMAR,-33.13798036563685,-32.8497774256612,-55.03859950100317,-54.75307442817174
16,TREINTA Y TRES,VERGARA,-33.061838089816256,-32.8203122600807,-54.292445962479974,-53.842302504869004
17,TACUAREMBO,SAN GREGORIO DE POLANCO,-32.62442498878799,-32.386522453709496,-56.01286611585028,-55.65305889883138
18,PAYSANDU,GUICHON,-32.490119640388045,-32.14782077550147,-57.36759182840438,-56.44126669702986
19,PAYSANDU,QUEBRACHO,-32.138646683960324,-31.754388415919617,-58.194793370291094,-57.61423650542328
20,ROCHA,CASTILLOS,-34.50408121885283,-33.661887256831974,-54.19312058493237,-53.60504897279014
21,ROCHA,LA PALOMA,-34.685209823271805,-34.468636788824625,-54.27737449298698,-54.058008771043355
22,ROCHA,LASCANO,-33.93292859965315,-33.58567853727907,-54.40198430624309,-54.08511073306548
23,SALTO,VILLA CONSTITUCION,-31.418332439870166,-30.936208769169564,-57.897393578896214,-57.25861709012638
24,CERRO LARGO,RIO BRANCO,-32.78734020525658,-32.43357952863394,-53.78283907750237,-53.18273320894029
25,SAN JOSE,LIBERTAD,-34.76032461373847,-34.53676784260067,-56.838181150312884,-56.475575653214875
26,SAN JOSE,CIUDAD DEL PLATA,-34.787883506664244,-34.65582849709922,-56.55270966625165,-56.34415836141196
27,ARTIGAS,BALTASAR BRUM,-30.929282381426564,-30.552049579122254,-57.566414021659384,-57.14009593951287
28,ARTIGAS,TOMAS GOMENSORO,-30.719415495805364,-30.300779301879466,-57.542812416822,-57.22865595933002
29,ARTIGAS,BELLA UNION,-30.552329204144016,-30.176933563042244,-57.790247346091256,-57.410425072617855
30,FLORES,ISMAEL CORTINAS,-33.968830114148844,-33.95423782638661,-57.09485387921502,-57.08084109801354
31,SORIANO,CARDONA,-33.955042817722074,-33.729463823475726,-57.41478514923439,-57.090430094913636
32,RIO NEGRO,NUEVO BERLIN,-33.13732815692201,-32.81540726658418,-58.10184323346836,-57.86561590389647
33,RIO NEGRO,YOUNG,-32.85448825585705,-32.45760337559009,-57.9647228260973,-57.37455799256347
34,DURAZNO,VILLA CARMEN,-33.28219462490814,-33.03463831545025,-56.078081030070265,-55.76995738737424
35,COLONIA,NUEVA HELVECIA,-34.35117307921573,-34.24808895544404,-57.285299237302205,-57.14268526566211
36,COLONIA,NUEVA PALMIRA,-33.949012109915635,-33.806281684235856,-58.42179470520729,-58.25889932137256
37,COLONIA,ROSARIO,-34.434240045114095,-34.21944273249904,-57.46976938639144,-57.257858979119334
38,COLONIA,TARARIRAS,-34.39847350873097,-34.127953866522645,-57.74199628918827,-57.448013473037214
39,PAYSANDU,PORVENIR,-32.59594052267093,-32.26998706018373,-58.053841146521535,-57.634924940235045
40,COLONIA,OMBUES DE LAVALLE,-34.06969571795985,-33.858945767310615,-57.96572438941038,-57.61368372343573
41,COLONIA,FLORENCIO SANCHEZ,-34.051965148719276,-33.874331846575956,-57.52473740261592,-57.243905761472405
42,COLONIA,COLONIA VALDENSE,-34.44749847297167,-34.32685751389905,-57.29492597728526,-57.10549029385356
43,CANELONES,18 DE MAYO,-34.7131330129795,-34.67720261371838,-56.241735604300146,-56.190241493747195
44,SORIANO,DOLORES,-33.69737661900723,-33.45290236167016,-58.433108939305484,-58.15702901664724
45,SORIANO,JOSE ENRIQUE RODO,-33.76054810978773,-33.507381916902006,-57.6828780705329,-57.3842402874069
46,CANELONES,LA FLORESTA,-34.798777976544585,-34.727165151032445,-56.23280014922438,-55.39318940952033
47,CANELONES,MONTES,-34.575776751562145,-34.4648371104855,-55.610070785148224,-55.48820928847416
48,PAYSANDU,LORENZO GEYRES,-32.32857527555115,-31.966021427301893,-58.136255545508305,-57.710618793225514
49,PAYSANDU,TAMBORES,-32.297776749709634,-31.739489975404716,-57.2541613633897,-56.23843743017331
50,CANELONES,LA PAZ,-34.770065170879654,-34.68189344733785,-56.3239574550832,-56.214376001309276
51,MALDONADO,PUNTA DEL ESTE,-34.974095016493365,-34.91171558462456,-54.95660122505097,-54.86642483903703
52,CANELONES,MIGUES,-34.6076861577525,-34.35472452979266,-55.777309175359804,-55.52869687783249
53,CANELONES,PANDO,-34.791100251250526,-34.61101320001388,-56.23280833755867,-55.801145141136466
54,CANELONES,PARQUE DEL PLATA,-34.776733647331035,-34.731436602267465,-56.2327909235218,-55.69716175619567
55,CANELONES,PASO CARRASCO,-34.8800997012729,-34.815272072538235,-56.060308344046575,-56.00048706647266
56,CANELONES,NICOLICH,-34.83824460045408,-34.781035067032306,-56.054982240529725,-55.975871687274456
57,CANELONES,PROGRESO,-34.69857042546655,-34.61134581517259,-56.32228278973849,-56.17152152590162
58,CANELONES,SAN ANTONIO,-34.494035536754666,-34.35370544388087,-56.16237793799865,-55.988429166584616
59,CANELONES,SAN BAUTISTA,-34.51898438004858,-34.31930664363632,-56.09188603313036,-55.88520808546983
60,CANELONES,SAN JACINTO,-34.62064250443435,-34.44844051198535,-55.93292251193408,-55.69949104502237
61,CANELONES,AGUAS CORRIENTES,-34.56974136297646,-34.48733606411611,-56.416269820056314,-56.305884507388335
62,CANELONES,SANTA ROSA,-34.59541993940031,-34.453755965627394,-56.188806924066476,-55.921956738630314
63,CANELONES,SAUCE,-34.74379888230666,-34.52841782870217,-56.233206507187276,-55.92421016324233
64,CANELONES,ATLANTIDA,-34.782199744156266,-34.607045486335196,-56.2327909235218,-55.70320113955587
65,CANELONES,SOCA,-34.78674054978737,-34.56665591018201,-55.76191346556122,-55.39644990709033
66,CANELONES,BARROS BLANCOS,-34.786653236590084,-34.726131764995614,-56.23280833755867,-55.966631484216244
67,CANELONES,JOAQUIN SUAREZ,-34.78021600507981,-34.68802731140537,-56.09944522008679,-55.972946229427684
68,CANELONES,TALA,-34.450594427030126,-34.20669699838231,-55.896841876156046,-55.57322790749108
69,MALDONADO,GARZÓN,-34.84903842293475,-34.38292729102539,-54.71658322392315,-54.501183637200455
70,MALDONADO,SOLIS GRANDE,-34.819596315062526,-34.61912523186168,-55.484760525082415,-55.29787738469819
71,LAVALLEJA,JOSE BATLLE Y ORDOÑEZ,-33.71460705811898,-33.32731444242596,-55.26101310912852,-54.83652974492622
72,MALDONADO,MALDONADO,-34.932505261082206,-34.73330184715212,-55.1081102300043,-54.87152157716271
73,MALDONADO,PIRIAPOLIS,-34.904729187135366,-34.785886878922014,-55.32825720354985,-55.068987433790355
74,CERRO LARGO,ISIDORO NOBLIA,-32.24194282252362,-31.876778673048204,-54.32817114500258,-53.832518593859504
75,CERRO LARGO,ACEGUA,-32.01599868074124,-31.651131026027112,-54.5478560223117,-54.13958406192041
76,CERRO LARGO,TUPAMBAE,-32.84921272738969,-32.41203706827517,-55.01914151178002,-54.51259440153166
77,CERRO LARGO,PLACIDO ROSAS,-32.77831578968664,-32.583586029555185,-53.89046096822943,-53.4828860978094
78,CERRO LARGO,AREVALO,-32.868019170413106,-32.625111497727744,-55.21429318205142,-54.803492866813876
79,CERRO LARGO,ARBOLITO,-32.81399611663396,-32.49697459177379,-54.31159377622625,-53.96463585544021
80,CERRO LARGO,RAMON TRIGO,-32.44626596916089,-32.06461343190392,-54.84570323332432,-54.32826711839056
81,CERRO LARGO,FRAILE MUERTO,-32.608752248686734,-32.4065394803687,-54.72154354190047,-54.35036651199126
82,SAN JOSE,ECILDA PAULLIER,-34.55701567455478,-34.19381703795486,-57.15362089528484,-56.82058413301526
83,SAN JOSE,RODRIGUEZ,-34.59219997267587,-33.84592656323297,-56.69504401047825,-56.39738263977559
84,FLORIDA,FRAY MARCOS,-34.25406985409652,-33.97907161491736,-55.818498179116105,-55.60791961543525
85,RIO NEGRO,SAN JAVIER,-32.84425741733762,-32.458697888362046,-58.191954637285946,-57.74417040206347
86,FLORIDA,SARANDÍ GRANDE,-33.79405115568084,-33.632578794171295,-56.4915133987879,-56.21278526149075
87,FLORIDA,CASUPÁ,-34.18842561080916,-33.99805061909648,-55.68195984401085,-55.58587962178408
88,MONTEVIDEO,C,-34.892979366560276,-34.84650080439881,-56.225669808932594,-56.15130683008068
89,MONTEVIDEO,A,-34.90632276189921,-34.778507277561474,-56.43139969952676,-56.20243296190487
90,SALTO,LAVALLEJA,-31.237493779854383,-30.92727367670181,-57.52809180274095,-56.48892741145039
91,SALTO,SAN ANTONIO,-31.48326827206822,-31.256664380052168,-57.89184725837873,-57.56376020668098
92,SALTO,MATAOJO,-31.482957475976637,-30.877171777136144,-56.68086704466834,-56.00949335725031
93,TACUAREMBO,PASO DE LOS TOROS,-32.86672262198167,-32.56973849975229,-56.68352696046375,-56.3425908298685
94,CANELONES,SANTA LUCIA,-34.509271794866294,-34.34706376959977,-56.418969225087714,-56.138842381465096
95,CANELONES,CANELONES,-34.629841226009354,-34.43145214647718,-56.342397065090076,-56.161583830742074
96,CANELONES,LOS CERRILLOS,-34.72677683432285,-34.530667623321946,-56.49350699184709,-56.26792512986058
97,ROCHA,CHUY,-33.79259596380009,-33.688818391413825,-53.58088615478065,-53.423300177737644
98,SALTO,PUEBLO BELEN,-30.97164575759474,-30.74619427724352,-57.79872287658488,-57.69146837114169
99,SALTO,RINCON DE VALENTIN,-31.511117545019573,-31.156655509702706,-57.34699296751389,-56.991350615363075
100,DURAZNO,SARANDÍ DEL YÍ,-33.369951110582896,-33.047995177021846,-55.74589017098782,-55.405209891772074
101,RIVERA,TRANQUERAS,-31.3849275025752,-31.06689888848801,-56.18520381578328,-55.4757751180488
102,RIVERA,VICHADERO,-31.913084046095456,-31.672203338391082,-54.75643315662684,-54.4549445979146
103,RIVERA,MINAS DE CORRALES,-31.661028721679862,-31.391453107765674,-55.60796209884026,-55.37658591897782
104,LAVALLEJA,JOSE PEDRO VARELA,-33.619505424728224,-33.35508517530503,-54.84639734590357,-54.12958456988782
105,LAVALLEJA,SOLIS DE MATAOJO,-34.63581440205666,-34.53406007818845,-55.49806947989572,-55.313509256291084
106,COLONIA,CARMELO,-34.20591038271038,-33.907000539485814,-58.36725475261981,-57.98422027526145
107,COLONIA,JUAN LACAZE,-34.4433670620004,-34.345492702126414,-57.51586391944887,-57.353421995061545
108,TACUAREMBO,ANSINA,-32.21771403173835,-31.773697020060872,-55.57119429446383,-55.184195761015154
109,PAYSANDU,CHAPICUY,-31.86773999910867,-31.452393718741245,-58.03471064048145,-57.65776978875256
110,PAYSANDU,PIEDRAS COLORADAS,-32.538285145010136,-32.148117943035125,-57.778705011830965,-57.30224435539326
111,SORIANO,PALMITAS,-33.59196929298786,-33.360693592382184,-57.935883183157245,-57.70564248732774
